
$PEDESTRIAN:NO;SIMSEC;SPEED;PEDTYPE;COORDFRONTX;COORDFRONTY;COORDFRONTZ;ORIENTATIONANGLE
1;0.20;0.00;100;66.603;-4.079;0.000;243.175
1;0.25;0.77;100;66.598;-4.088;0.000;243.175
1;0.30;1.10;100;66.556;-4.077;0.000;230.827
1;0.35;1.46;100;66.517;-4.066;0.000;220.762
1;0.40;1.78;100;66.481;-4.059;0.000;213.081
1;0.45;2.07;100;66.446;-4.056;0.000;207.644
1;0.50;2.32;100;66.412;-4.059;0.000;204.078
1;0.55;2.53;100;66.375;-4.061;0.000;200.538
1;0.60;2.71;100;66.338;-4.070;0.000;199.063
1;0.65;2.87;100;66.300;-4.080;0.000;198.263
1;0.70;3.01;100;66.259;-4.092;0.000;197.812
1;0.75;3.13;100;66.218;-4.105;0.000;197.530
1;0.80;3.24;100;66.175;-4.119;0.000;197.786
1;0.85;3.33;100;66.131;-4.134;0.000;197.891
1;0.90;3.42;100;66.086;-4.149;0.000;197.945
1;0.95;3.49;100;66.040;-4.164;0.000;197.981
1;1.00;3.55;100;65.994;-4.180;0.000;198.217
1;1.05;3.61;100;65.946;-4.197;0.000;198.354
1;1.10;3.62;100;65.896;-4.205;0.000;196.218
1;1.15;3.65;100;65.846;-4.215;0.000;195.031
1;1.20;3.67;100;65.796;-4.225;0.000;194.116
1;1.25;3.69;100;65.746;-4.235;0.000;193.341
1;1.30;3.71;100;65.695;-4.244;0.000;192.622
1;1.35;3.73;100;65.644;-4.254;0.000;192.013
1;1.40;3.75;100;65.593;-4.263;0.000;191.485
1;1.45;3.76;100;65.541;-4.271;0.000;190.966
1;1.50;3.77;100;65.490;-4.280;0.000;190.533
1;1.55;3.78;100;65.438;-4.288;0.000;190.159
1;1.60;3.83;100;65.385;-4.295;0.000;189.681
1;1.65;3.86;100;65.332;-4.303;0.000;189.311
1;1.70;3.89;100;65.278;-4.311;0.000;188.995
1;1.75;3.91;100;65.224;-4.313;0.000;187.400
1;1.80;3.92;100;65.169;-4.317;0.000;186.451
1;1.85;3.94;100;65.115;-4.320;0.000;185.648
1;1.90;3.95;100;65.060;-4.323;0.000;184.951
1;1.95;3.97;100;65.005;-4.325;0.000;184.347
1;2.00;3.98;100;64.949;-4.327;0.000;183.821
1;2.05;3.99;100;64.894;-4.329;0.000;183.364
1;2.10;4.00;100;64.838;-4.331;0.000;182.857
1;2.15;4.00;100;64.783;-4.332;0.000;182.445
1;2.20;4.01;100;64.727;-4.333;0.000;182.087
1;2.25;4.01;100;64.671;-4.334;0.000;181.775
1;2.30;4.02;100;64.616;-4.334;0.000;181.502
1;2.35;4.02;100;64.560;-4.335;0.000;181.265
1;2.40;4.03;100;64.504;-4.335;0.000;181.057
1;2.45;4.03;100;64.448;-4.336;0.000;180.875
1;2.50;4.03;100;64.392;-4.336;0.000;180.716
1;2.55;4.03;100;64.336;-4.336;0.000;180.577
1;2.60;4.04;100;64.280;-4.337;0.000;180.656
1;2.65;4.05;100;64.223;-4.338;0.000;180.670
1;2.70;4.05;100;64.167;-4.338;0.000;180.679
1;2.75;4.06;100;64.111;-4.339;0.000;180.686
1;2.80;4.06;100;64.054;-4.340;0.000;180.692
1;2.85;4.06;100;63.998;-4.341;0.000;180.698
1;2.90;4.07;100;63.941;-4.341;0.000;180.703
1;2.95;4.07;100;63.885;-4.342;0.000;180.707
1;3.00;4.07;100;63.828;-4.343;0.000;180.710
1;3.05;4.07;100;63.772;-4.344;0.000;180.714
1;3.10;4.07;100;63.715;-4.344;0.000;180.729
1;3.15;4.07;100;63.659;-4.345;0.000;180.739
1;3.20;4.07;100;63.602;-4.346;0.000;180.747
1;3.25;4.07;100;63.546;-4.347;0.000;180.754
1;3.30;4.07;100;63.489;-4.347;0.000;180.760
1;3.35;4.07;100;63.433;-4.348;0.000;180.766
2;3.35;0.00;200;-0.234;-4.598;0.000;198.714
1;3.40;4.07;100;63.376;-4.349;0.000;180.770
2;3.40;0.80;200;-0.245;-4.601;0.000;198.714
1;3.45;4.07;100;63.320;-4.350;0.000;180.775
2;3.45;0.39;200;-0.233;-4.618;0.000;205.909
1;3.50;4.07;100;63.263;-4.351;0.000;180.778
2;3.50;0.87;200;-0.205;-4.643;0.000;218.700
1;3.55;4.07;100;63.207;-4.351;0.000;180.781
2;3.55;1.29;200;-0.146;-4.677;0.000;242.078
1;3.60;4.08;100;63.150;-4.351;0.000;180.373
2;3.60;1.68;200;-0.043;-4.690;0.000;277.360
1;3.65;4.09;100;63.093;-4.350;0.000;180.130
2;3.65;2.02;200;0.057;-4.655;0.000;311.975
1;3.70;4.10;100;63.036;-4.349;0.000;179.925
2;3.70;2.31;200;0.122;-4.606;0.000;336.643
1;3.75;4.10;100;62.979;-4.349;0.000;179.747
2;3.75;2.57;200;0.167;-4.571;0.000;351.399
1;3.80;4.11;100;62.922;-4.348;0.000;179.591
2;3.80;2.79;200;0.208;-4.549;0.000;359.213
1;3.85;4.11;100;62.865;-4.347;0.000;179.455
2;3.85;2.99;200;0.249;-4.537;0.000;2.921
1;3.90;4.12;100;62.808;-4.346;0.000;179.336
2;3.90;3.16;200;0.292;-4.529;0.000;4.600
1;3.95;4.12;100;62.751;-4.345;0.000;179.232
2;3.95;3.31;200;0.338;-4.523;0.000;5.294
1;4.00;4.13;100;62.693;-4.343;0.000;179.141
2;4.00;3.45;200;0.386;-4.517;0.000;5.593
1;4.05;4.13;100;62.636;-4.342;0.000;179.062
2;4.05;3.56;200;0.435;-4.512;0.000;5.835
1;4.10;4.13;100;62.579;-4.342;0.000;179.293
2;4.10;3.60;200;0.484;-4.506;0.000;5.859
1;4.15;4.13;100;62.521;-4.342;0.000;179.412
2;4.15;3.65;200;0.535;-4.501;0.000;5.877
1;4.20;4.14;100;62.464;-4.342;0.000;179.511
2;4.20;3.69;200;0.586;-4.496;0.000;5.959
1;4.25;4.14;100;62.406;-4.342;0.000;179.598
2;4.25;3.73;200;0.637;-4.490;0.000;6.009
1;4.30;4.14;100;62.349;-4.342;0.000;179.673
2;4.30;3.77;200;0.689;-4.485;0.000;6.048
1;4.35;4.14;100;62.291;-4.342;0.000;179.740
2;4.35;3.80;200;0.742;-4.479;0.000;6.122
1;4.40;4.14;100;62.234;-4.342;0.000;179.797
2;4.40;3.82;200;0.794;-4.473;0.000;6.173
1;4.45;4.14;100;62.176;-4.342;0.000;179.848
2;4.45;3.85;200;0.848;-4.467;0.000;6.216
1;4.50;4.14;100;62.119;-4.342;0.000;179.892
2;4.50;3.87;200;0.901;-4.461;0.000;6.294
1;4.55;4.14;100;62.061;-4.342;0.000;179.930
2;4.55;3.89;200;0.955;-4.455;0.000;6.349
1;4.60;4.14;100;62.004;-4.341;0.000;179.784
2;4.60;3.94;200;1.009;-4.447;0.000;6.906
1;4.65;4.13;100;61.946;-4.340;0.000;179.704
2;4.65;3.98;200;1.063;-4.439;0.000;7.323
1;4.70;4.13;100;61.889;-4.340;0.000;179.638
2;4.70;4.01;200;1.119;-4.431;0.000;7.658
1;4.75;4.12;100;61.832;-4.339;0.000;179.580
2;4.75;4.04;200;1.174;-4.422;0.000;7.945
3;4.75;0.00;100;65.193;-3.875;0.000;346.733
1;4.80;4.12;100;61.774;-4.339;0.000;179.529
2;4.80;4.06;200;1.230;-4.414;0.000;8.237
3;4.80;0.88;100;65.205;-3.878;0.000;346.733
1;4.85;4.12;100;61.717;-4.338;0.000;179.484
2;4.85;4.08;200;1.286;-4.405;0.000;8.476
3;4.85;0.47;100;65.189;-3.911;0.000;335.897
1;4.90;4.11;100;61.660;-4.337;0.000;179.444
2;4.90;4.10;200;1.342;-4.397;0.000;8.280
3;4.90;0.95;100;65.150;-3.955;0.000;319.048
1;4.95;4.11;100;61.603;-4.337;0.000;179.410
2;4.95;4.12;200;1.399;-4.389;0.000;8.237
3;4.95;1.40;100;65.069;-4.004;0.000;292.522
1;5.00;4.11;100;61.546;-4.336;0.000;179.380
2;5.00;4.13;200;1.455;-4.380;0.000;8.208
3;5.00;1.80;100;64.952;-4.018;0.000;260.118
1;5.05;4.11;100;61.489;-4.335;0.000;179.353
2;5.05;4.14;200;1.512;-4.372;0.000;8.217
3;5.05;2.14;100;64.848;-3.989;0.000;231.590
1;5.10;4.11;100;61.432;-4.335;0.000;179.376
2;5.10;4.17;200;1.570;-4.366;0.000;7.413
3;5.10;2.45;100;64.776;-3.951;0.000;211.622
1;5.15;4.11;100;61.375;-4.334;0.000;179.383
2;5.15;4.19;200;1.628;-4.361;0.000;6.934
3;5.15;2.71;100;64.723;-3.924;0.000;199.445
1;5.20;4.11;100;61.318;-4.333;0.000;179.389
2;5.20;4.21;200;1.686;-4.355;0.000;6.568
3;5.20;2.94;100;64.677;-3.909;0.000;192.167
1;5.25;4.11;100;61.261;-4.333;0.000;179.394
2;5.25;4.22;200;1.744;-4.349;0.000;6.238
3;5.25;3.14;100;64.632;-3.903;0.000;188.472
